threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.01,20163,0.8992709418241334,0.8287665458224434,1.0,0.9063666958646444,0.9862362278151787,0.984288783870757,0.19655472757185716,0.0,8302,2031,0,9830
0.02,20163,0.9002132619153895,0.830096267522378,1.0,0.9071613141380583,0.9862362278151787,0.984288783870757,0.194715958579309,0.0,8321,2012,0,9830
0.03,20163,0.9004612408867728,0.8304469037762947,1.0,0.907370655836064,0.9862362278151787,0.984288783870757,0.19423207200232265,0.0,8326,2007,0,9830
0.04,20163,0.9004612408867728,0.8304469037762947,1.0,0.907370655836064,0.9862362278151787,0.984288783870757,0.19423207200232265,0.0,8326,2007,0,9830
0.05,20163,0.9008084114467093,0.830938292476754,1.0,0.9076638965835642,0.9862362278151787,0.984288783870757,0.19355463079454177,0.0,8333,2000,0,9830
0.060000000000000005,20163,0.9015027525665823,0.8319228165199729,1.0,0.908250947057193,0.9862362278151787,0.984288783870757,0.19219974837897996,0.0,8347,1986,0,9830
0.06999999999999999,20163,0.9018995189207956,0.8324864498644986,1.0,0.9085867455402532,0.9862362278151787,0.984288783870757,0.1914255298558018,0.0,8355,1978,0,9830
0.08,20163,0.9020979020979021,0.8327685530328702,1.0,0.908754737912545,0.9862362278151787,0.984288783870757,0.19103842059421272,0.0,8359,1974,0,9830
0.09,20163,0.9022962852750087,0.8330508474576271,1.0,0.908922792417938,0.9862362278151787,0.984288783870757,0.19065131133262364,0.0,8363,1970,0,9830
0.09999999999999999,20163,0.9024450726578386,0.8332626939052301,1.0,0.9090488740925695,0.9862362278151787,0.984288783870757,0.19036097938643182,0.0,8366,1967,0,9830
0.11,20163,0.9025938600406685,0.8334746481261659,1.0,0.9091749907510174,0.9862362278151787,0.984288783870757,0.19007064744024002,0.0,8369,1964,0,9830
0.12,20163,0.9026434558349452,0.8335453234969897,1.0,0.9092170374138648,0.9862362278151787,0.984288783870757,0.18997387012484274,0.0,8370,1963,0,9830
0.13,20163,0.902941030600605,0.8339696275557817,1.0,0.9094693990840542,0.9862362278151787,0.984288783870757,0.18939320623245912,0.0,8376,1957,0,9830
0.14,20163,0.9031890095719883,0.8344370860927153,0.999796541200407,0.9096630877452795,0.9862362278151787,0.984288783870757,0.1887157650246782,0.0002034587995930824,8383,1950,2,9828
0.15000000000000002,20163,0.9034369885433715,0.8347914720122314,0.999796541200407,0.9098736286626857,0.9862362278151787,0.984288783870757,0.18823187844769185,0.0002034587995930824,8388,1945,2,9828
0.16,20163,0.9037345633090313,0.8352741181470463,0.9996948118006104,0.9101180828895578,0.9862362278151787,0.984288783870757,0.18755443723991097,0.0003051881993896236,8395,1938,3,9827
0.17,20163,0.903932946486138,0.8355582008332625,0.9996948118006104,0.9102866935297115,0.9862362278151787,0.984288783870757,0.1871673279783219,0.0003051881993896236,8399,1934,3,9827
0.18000000000000002,20163,0.904081733868968,0.8358285130996937,0.9995930824008138,0.9104048920596683,0.9862362278151787,0.984288783870757,0.1867802187167328,0.0004069175991861648,8403,1930,4,9826
0.19,20163,0.9044289044289044,0.8364410387398893,0.9993896236012207,0.9106836616454229,0.9862362278151787,0.984288783870757,0.18590922287815737,0.0006103763987792472,8412,1921,6,9824
0.2,20163,0.9049744581659476,0.8372826457551995,0.9992878942014242,0.9111399684630368,0.9862362278151787,0.984288783870757,0.1847478950933901,0.0007121057985757884,8424,1909,7,9823
0.21000000000000002,20163,0.9054208203144374,0.8381562099871959,0.9988809766022381,0.9114875841262474,0.9862362278151787,0.984288783870757,0.1834897899932256,0.0011190233977619532,8437,1896,11,9819
0.22,20163,0.9061151614343104,0.8396234488660677,0.9980671414038658,0.9120148733441785,0.9862362278151787,0.984288783870757,0.18136068905448563,0.0019328585961342828,8459,1874,19,9811
0.23,20163,0.9071070773198433,0.8412385281756583,0.9977619532044761,0.9128391269952069,0.9862362278151787,0.984288783870757,0.1791348108003484,0.0022380467955239063,8482,1851,22,9808
0.24000000000000002,20163,0.9084957595595894,0.8435590740900095,0.9972533062054934,0.9139900237751154,0.9862362278151787,0.984288783870757,0.17594115939223845,0.0027466937945066125,8515,1818,27,9803
0.25,20163,0.909388483856569,0.8451056489866322,0.9968463886063073,0.9147257876312719,0.9862362278151787,0.984288783870757,0.1738120584534985,0.0031536113936927773,8537,1796,31,9799
0.26,20163,0.9115211030104647,0.8483116883116883,0.9967446592065107,0.9165575304022451,0.9862362278151787,0.984288783870757,0.16955385657601857,0.0032553407934893183,8581,1752,32,9798
0.27,20163,0.913008976838764,0.8511304347826087,0.9957273652085453,0.9177684013127051,0.9862362278151787,0.984288783870757,0.16568276396012774,0.004272634791454731,8621,1712,42,9788
0.28,20163,0.9151415959926599,0.8548824197919399,0.9948118006103764,0.9195542808782735,0.9862362278151787,0.984288783870757,0.16065034355946967,0.005188199389623601,8673,1660,51,9779
0.29000000000000004,20163,0.916381490849576,0.8575693712680014,0.9934893184130213,0.9205391648600245,0.9862362278151787,0.984288783870757,0.15697280557437338,0.006510681586978637,8711,1622,64,9766
0.3,20163,0.9181173436492586,0.8607215312692952,0.992675483214649,0.922001228327113,0.9862362278151787,0.984288783870757,0.15281138101229072,0.007324516785350966,8754,1579,72,9758
0.31,20163,0.9186628973863017,0.862453531598513,0.9912512716174975,0.9223778871639531,0.9862362278151787,0.984288783870757,0.15039194812735895,0.008748728382502543,8779,1554,86,9744
0.32,20163,0.9199027922432178,0.8653384328026328,0.9897253306205493,0.9233616476059413,0.9862362278151787,0.984288783870757,0.14652085551146812,0.010274669379450662,8819,1514,101,9729
