mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.9832494258880615,0.35898976389609505,0.214065949122111,0.09995669314639401,1,12,,"{'model__min_samples_leaf': 1, 'model__max_depth': 12, 'model__class_weight': None}",0.9801419046294338,0.9815025384278194,0.9801311291891075,0.9805918574154536,0.0006439637449635941,3,0.9932550114556729,0.993132513970736,0.9931524098171288,0.9931799784145126,5.367450745151581e-05
2.979010740915934,0.6378271227086962,0.2846380869547526,0.032333453168227895,3,12,,"{'model__min_samples_leaf': 3, 'model__max_depth': 12, 'model__class_weight': None}",0.9797177868611504,0.9811660823444731,0.9799181548549307,0.980267341353518,0.0006407487078150633,4,0.9912068708416393,0.9909958167184174,0.9907409717050758,0.9909812197550442,0.00019048237865559067
3.03749410311381,0.4934321282524636,0.21146289507548013,0.0759463173567223,8,,,"{'model__min_samples_leaf': 8, 'model__max_depth': None, 'model__class_weight': None}",0.9806374674367455,0.98159026097313,0.9805367235642414,0.9809214839913722,0.00047468187273756474,1,0.9935430572758248,0.993406091342808,0.9931973559090312,0.993382168175888,0.00014214217574280268
3.7032461166381836,1.2101923134932795,0.16315221786499023,0.08187416220807943,8,20,,"{'model__min_samples_leaf': 8, 'model__max_depth': 20, 'model__class_weight': None}",0.9805196136409167,0.9815190261458216,0.9805459230600494,0.9808615209489293,0.000465050434067226,2,0.9932775549887374,0.9931723768605443,0.9929491357811382,0.9931330225434732,0.00013693396385146644
