features,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
Original,20163,0.9338392104349551,0.9180279472544774,0.9490335707019328,0.9332733093237295,0.9861489116391604,0.9842482465534586,0.08061550372592664,0.05096642929806714,9500,833,501,9329
Engineered,20163,0.9347815305262114,0.9200789343857918,0.9486266531027467,0.9341347357876284,0.9862362278151787,0.984288783870757,0.07838962547178942,0.05137334689725331,9523,810,505,9325
