model,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
Logistic Regression,52738,0.7368121658007509,0.5813642016645939,0.9603856081757361,0.7242858845496802,0.9089172926500211,0.8629713502238294,0.3889201599762998,0.039614391824263816,20627,13128,752,18231
Random Forest,52738,0.8278660548371194,0.6825402675905791,0.9755043986724965,0.8031400442381923,0.967776266118342,0.9506112154622808,0.2551621981928603,0.024495601327503554,25142,8613,465,18518
XGBoost,52738,0.8292502559824035,0.6859624273147458,0.9694463467312859,0.8034314902534326,0.969826906927062,0.9549896501728707,0.24959265294030514,0.030553653268714114,25330,8425,580,18403
