model,threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,training_seconds,inference_seconds,inference_ms_per_row
Logistic Regression,0.17,52738,0.7358261595054799,0.5769476859327869,0.9975241005109835,0.7310632383599722,0.9089172926500211,0.8629713502238294,0.4113464671900459,0.0024758994890164885,19870,13885,47,18936,23.665719399999944,0.16448589999981778,0.0031189256323678896
Random Forest,0.52,52738,0.8353748720087982,0.6937953869887497,0.9713427803824475,0.8094381035996489,0.967776266118342,0.9506112154622808,0.24109020885794696,0.02865721961755255,25617,8138,544,18439,61.90588749999915,0.6311286999998629,0.011967247525500832
XGBoost,0.49,52738,0.8257992339489552,0.6806980004427065,0.9719749249328347,0.8006682722558528,0.969826906927062,0.9549896501728707,0.2564064583024737,0.02802507506716536,25100,8655,532,18451,89.79006560000016,0.22139220000008208,0.004197963517768632
