,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
117,0.595,0.922048,0.918392,0.935077,0.885859,0.909803,0.842211,16257,839,1557,12084,0.049076,0.114141,0.950924,30737,0.443797,0.420438,31979.0
118,0.6,0.922406,0.91855,0.937364,0.884246,0.910031,0.843029,16290,806,1579,12062,0.047146,0.115754,0.952854,30737,0.443797,0.418649,32386.0
119,0.605,0.922244,0.918241,0.938499,0.882633,0.909709,0.842766,16307,789,1601,12040,0.046151,0.117367,0.953849,30737,0.443797,0.41738,32809.0
120,0.61,0.922016,0.917829,0.939906,0.880581,0.909277,0.842396,16328,768,1629,12012,0.044923,0.119419,0.955077,30737,0.443797,0.415786,33348.0
121,0.615,0.921853,0.917527,0.940987,0.879041,0.90896,0.842142,16344,752,1650,11991,0.043987,0.120959,0.956013,30737,0.443797,0.414582,33752.0
122,0.62,0.921593,0.917115,0.942061,0.877282,0.908518,0.8417,16360,736,1674,11967,0.043051,0.122718,0.956949,30737,0.443797,0.41328,34216.0
123,0.625,0.921235,0.916549,0.943548,0.874863,0.907908,0.841102,16382,714,1707,11934,0.041764,0.125137,0.958236,30737,0.443797,0.411491,34854.0
124,0.63,0.920942,0.916064,0.944987,0.872663,0.907386,0.840636,16403,693,1737,11904,0.040536,0.127337,0.959464,30737,0.443797,0.409832,35433.0
125,0.635,0.921007,0.915967,0.946626,0.871124,0.907307,0.840892,16426,670,1758,11883,0.03919,0.128876,0.96081,30737,0.443797,0.4084,35830.0
126,0.64,0.920975,0.915737,0.94848,0.869144,0.907081,0.840984,16452,644,1785,11856,0.03767,0.130856,0.96233,30737,0.443797,0.406676,36344.0
127,0.645,0.920584,0.915216,0.949222,0.867458,0.9065,0.840291,16463,633,1808,11833,0.037026,0.132542,0.962974,30737,0.443797,0.40557,36793.0
128,0.65,0.920194,0.914665,0.950258,0.865479,0.905889,0.839629,16478,618,1835,11806,0.036149,0.134521,0.963851,30737,0.443797,0.404203,37318.0
129,0.655,0.919869,0.91421,0.95109,0.863866,0.905382,0.839078,16490,606,1857,11784,0.035447,0.136134,0.964553,30737,0.443797,0.403097,37746.0
130,0.66,0.919446,0.913622,0.952134,0.861814,0.904725,0.838364,16505,591,1885,11756,0.034569,0.138186,0.965431,30737,0.443797,0.401698,38291.0
131,0.665,0.91912,0.913159,0.95305,0.860128,0.904208,0.837829,16518,578,1908,11733,0.033809,0.139872,0.966191,30737,0.443797,0.400527,38738.0
132,0.67,0.918405,0.912286,0.953631,0.857855,0.903211,0.836513,16527,569,1939,11702,0.033283,0.142145,0.966717,30737,0.443797,0.399226,39349.0
133,0.675,0.918112,0.911867,0.954486,0.856316,0.90274,0.836043,16539,557,1960,11681,0.032581,0.143684,0.967419,30737,0.443797,0.398152,39757.0
134,0.68,0.917721,0.911339,0.955335,0.854556,0.90214,0.835388,16551,545,1984,11657,0.031879,0.145444,0.968121,30737,0.443797,0.396981,40225.0
135,0.685,0.917201,0.910656,0.95625,0.85243,0.90136,0.834495,16564,532,2013,11628,0.031118,0.14757,0.968882,30737,0.443797,0.395614,40792.0
136,0.69,0.916843,0.910179,0.956963,0.850891,0.900815,0.833894,16574,522,2034,11607,0.030533,0.149109,0.969467,30737,0.443797,0.394606,41202.0
137,0.695,0.91655,0.90973,0.95814,0.849058,0.900307,0.833476,16590,506,2059,11582,0.029598,0.150942,0.970402,30737,0.443797,0.393272,41686.0
138,0.7,0.916225,0.90923,0.959475,0.847005,0.899739,0.833021,16608,488,2087,11554,0.028545,0.152995,0.971455,30737,0.443797,0.391775,42228.0
139,0.705,0.915737,0.908577,0.960497,0.844879,0.898986,0.832223,16622,474,2116,11525,0.027726,0.155121,0.972274,30737,0.443797,0.390376,42794.0
140,0.71,0.915509,0.908194,0.961783,0.84312,0.898551,0.831959,16639,457,2140,11501,0.026731,0.15688,0.973269,30737,0.443797,0.389043,43257.0
141,0.715,0.915314,0.907871,0.962848,0.841654,0.898181,0.831731,16653,443,2160,11481,0.025912,0.158346,0.974088,30737,0.443797,0.387936,43643.0
142,0.72,0.914728,0.907181,0.963103,0.840041,0.897373,0.830658,16657,439,2182,11459,0.025679,0.159959,0.974321,30737,0.443797,0.38709,44079.0
143,0.725,0.91398,0.906294,0.9635,0.837915,0.89633,0.829299,16663,433,2211,11430,0.025328,0.162085,0.974672,30737,0.443797,0.385952,44653.0
