,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
173,0.875,0.92964,0.943373,0.995436,0.894003,0.941997,0.861223,18465,135,3491,29444,0.007258,0.105997,0.992742,51535,0.63908,0.573959,69955.0
174,0.88,0.929058,0.942999,0.995666,0.89288,0.941476,0.860277,18472,128,3528,29407,0.006882,0.10712,0.993118,51535,0.63908,0.573106,70688.0
175,0.885,0.928456,0.94261,0.995897,0.891726,0.940937,0.859299,18479,121,3566,29369,0.006505,0.108274,0.993495,51535,0.63908,0.572232,71441.0
176,0.89,0.92768,0.942108,0.996195,0.890238,0.940241,0.858042,18488,112,3615,29320,0.006022,0.109762,0.993978,51535,0.63908,0.571107,72412.0
177,0.895,0.926923,0.941563,0.996325,0.888933,0.93957,0.856758,18492,108,3658,29277,0.005806,0.111067,0.994194,51535,0.63908,0.570195,73268.0
178,0.9,0.925876,0.940802,0.996487,0.887141,0.93864,0.85498,18497,103,3717,29218,0.005538,0.112859,0.994462,51535,0.63908,0.568953,74443.0
179,0.905,0.924847,0.940021,0.996549,0.885471,0.937732,0.853202,18499,101,3772,29163,0.00543,0.114529,0.99457,51535,0.63908,0.567847,75541.0
180,0.91,0.923935,0.939366,0.996713,0.883893,0.936919,0.851673,18504,96,3824,29111,0.005161,0.116107,0.994839,51535,0.63908,0.566741,76576.0
181,0.915,0.922868,0.938613,0.996946,0.88201,0.935962,0.849907,18511,89,3886,29049,0.004785,0.11799,0.995215,51535,0.63908,0.565402,77809.0
182,0.92,0.921451,0.937539,0.997041,0.879702,0.934703,0.847486,18514,86,3962,28973,0.004624,0.120298,0.995376,51535,0.63908,0.563869,79326.0
183,0.925,0.920287,0.936675,0.997172,0.877759,0.933663,0.845526,18518,82,4026,28909,0.004409,0.122241,0.995591,51535,0.63908,0.56255,80602.0
184,0.93,0.919084,0.935793,0.997337,0.875725,0.932583,0.84352,18523,77,4093,28842,0.00414,0.124275,0.99586,51535,0.63908,0.561153,81937.0
185,0.935,0.917299,0.934454,0.997501,0.87278,0.930982,0.840524,18528,72,4190,28745,0.003871,0.12722,0.996129,51535,0.63908,0.559173,83872.0
186,0.94,0.915533,0.933096,0.997563,0.869956,0.9294,0.837532,18530,70,4283,28652,0.003763,0.130044,0.996237,51535,0.63908,0.55733,85730.0
187,0.945,0.914078,0.932121,0.998043,0.867254,0.928063,0.835265,18544,56,4372,28563,0.003011,0.132746,0.996989,51535,0.63908,0.555331,87496.0
188,0.95,0.912196,0.930696,0.998176,0.864187,0.926362,0.832137,18548,52,4473,28462,0.002796,0.135813,0.997204,51535,0.63908,0.553294,89512.0
189,0.955,0.90977,0.928903,0.998484,0.860118,0.924151,0.828191,18557,43,4607,28328,0.002312,0.139882,0.997688,51535,0.63908,0.550519,92183.0
190,0.96,0.907713,0.927364,0.99869,0.856718,0.922272,0.824843,18563,37,4719,28216,0.001989,0.143282,0.998011,51535,0.63908,0.548229,94417.0
191,0.965,0.905326,0.925544,0.998827,0.852862,0.920091,0.820933,18567,33,4846,28089,0.001774,0.147138,0.998226,51535,0.63908,0.545687,96953.0
192,0.97,0.902261,0.923168,0.998891,0.848004,0.917284,0.815895,18569,31,5006,27929,0.001667,0.151996,0.998333,51535,0.63908,0.542544,100151.0
193,0.975,0.899039,0.920683,0.998992,0.842872,0.914316,0.810658,18572,28,5175,27760,0.001505,0.157128,0.998495,51535,0.63908,0.539206,103528.0
194,0.98,0.894868,0.917501,0.999238,0.836132,0.910437,0.803995,18579,21,5397,27538,0.001129,0.163868,0.998871,51535,0.63908,0.534763,107961.0
195,0.985,0.889997,0.913773,0.999487,0.828298,0.905876,0.796285,18586,14,5655,27280,0.000753,0.171702,0.999247,51535,0.63908,0.529621,113114.0
196,0.99,0.88144,0.907089,0.999516,0.814878,0.897802,0.782739,18587,13,6097,26838,0.000699,0.185122,0.999301,51535,0.63908,0.521025,121953.0
