,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
38,0.2,0.927108,0.928574,0.879235,0.98578,0.929464,0.860552,9030,1333,140,9705,0.128631,0.01422,0.871369,20208,0.487183,0.546219,4133.0
39,0.205,0.927603,0.929054,0.880102,0.985678,0.929903,0.861421,9041,1322,141,9704,0.127569,0.014322,0.872431,20208,0.487183,0.545625,4142.0
40,0.21,0.927999,0.92943,0.881017,0.985272,0.930233,0.862051,9053,1310,145,9700,0.126411,0.014728,0.873589,20208,0.487183,0.544834,4210.0
41,0.215,0.928197,0.929608,0.881754,0.984662,0.930371,0.862285,9063,1300,151,9694,0.125446,0.015338,0.874554,20208,0.487183,0.544042,4320.0
42,0.22,0.928543,0.929938,0.882524,0.984358,0.930664,0.86285,9073,1290,154,9691,0.124481,0.015642,0.875519,20208,0.487183,0.543399,4370.0
43,0.225,0.928791,0.930162,0.883415,0.983647,0.930841,0.863158,9085,1278,161,9684,0.123323,0.016353,0.876677,20208,0.487183,0.542458,4498.0
44,0.23,0.929186,0.930537,0.884341,0.98324,0.931172,0.863796,9097,1266,165,9680,0.122165,0.01676,0.877835,20208,0.487183,0.541667,4566.0
45,0.235,0.929533,0.930868,0.885118,0.982936,0.931466,0.864366,9107,1256,168,9677,0.1212,0.017064,0.8788,20208,0.487183,0.541023,4616.0
46,0.24,0.929929,0.931246,0.885979,0.982631,0.931805,0.865027,9118,1245,171,9674,0.120139,0.017369,0.879861,20208,0.487183,0.540331,4665.0
47,0.245,0.930127,0.931431,0.886516,0.982326,0.931965,0.86533,9125,1238,174,9671,0.119463,0.017674,0.880537,20208,0.487183,0.539836,4718.0
48,0.25,0.930325,0.931617,0.887054,0.982021,0.932125,0.865633,9132,1231,177,9668,0.118788,0.017979,0.881212,20208,0.487183,0.539341,4771.0
49,0.255,0.930622,0.931896,0.887827,0.981615,0.932369,0.866099,9142,1221,181,9664,0.117823,0.018385,0.882177,20208,0.487183,0.538648,4841.0
50,0.26,0.930819,0.932069,0.888725,0.980802,0.932496,0.866314,9154,1209,189,9656,0.116665,0.019198,0.883335,20208,0.487183,0.537658,4989.0
51,0.265,0.931067,0.932292,0.889637,0.980091,0.932676,0.86664,9166,1197,196,9649,0.115507,0.019909,0.884493,20208,0.487183,0.536718,5117.0
52,0.27,0.931314,0.932528,0.890191,0.979888,0.932889,0.867057,9173,1190,198,9647,0.114832,0.020112,0.885168,20208,0.487183,0.536273,5150.0
53,0.275,0.931512,0.932706,0.890953,0.979279,0.93303,0.867314,9183,1180,204,9641,0.113867,0.020721,0.886133,20208,0.487183,0.535481,5260.0
54,0.28,0.931661,0.932846,0.891345,0.979076,0.933153,0.867552,9188,1175,206,9639,0.113384,0.020924,0.886616,20208,0.487183,0.535135,5295.0
55,0.285,0.93176,0.932924,0.892017,0.978365,0.933198,0.867613,9197,1166,213,9632,0.112516,0.021635,0.887484,20208,0.487183,0.534343,5426.0
56,0.29,0.931958,0.9331,0.892857,0.977654,0.933333,0.867859,9208,1155,220,9625,0.111454,0.022346,0.888546,20208,0.487183,0.533452,5555.0
57,0.295,0.931958,0.933092,0.893076,0.977349,0.933314,0.86781,9211,1152,223,9622,0.111165,0.022651,0.888835,20208,0.487183,0.533155,5612.0
58,0.3,0.932106,0.933219,0.893837,0.976638,0.933405,0.867968,9221,1142,230,9615,0.1102,0.023362,0.8898,20208,0.487183,0.532314,5742.0
59,0.305,0.932057,0.933158,0.89412,0.97613,0.933327,0.867796,9225,1138,235,9610,0.109814,0.02387,0.890186,20208,0.487183,0.531869,5838.0
60,0.31,0.9327,0.93378,0.89535,0.975927,0.933904,0.86895,9240,1123,237,9608,0.108366,0.024073,0.891634,20208,0.487183,0.531027,5863.0
61,0.315,0.932601,0.933666,0.895699,0.975216,0.933768,0.868658,9245,1118,244,9601,0.107884,0.024784,0.892116,20208,0.487183,0.530433,5998.0
62,0.32,0.932898,0.933938,0.896719,0.974505,0.933995,0.869099,9258,1105,251,9594,0.106629,0.025495,0.893371,20208,0.487183,0.529444,6125.0
63,0.325,0.932997,0.934019,0.897333,0.973895,0.934048,0.869191,9266,1097,257,9588,0.105857,0.026105,0.894143,20208,0.487183,0.528751,6237.0
64,0.33,0.933145,0.934149,0.898032,0.973286,0.934146,0.869377,9275,1088,263,9582,0.104989,0.026714,0.895011,20208,0.487183,0.528009,6348.0
65,0.335,0.933244,0.93423,0.898649,0.972676,0.934198,0.869473,9283,1080,269,9576,0.104217,0.027324,0.895783,20208,0.487183,0.527316,6460.0
