,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
85,0.435,0.922016,0.922651,0.899233,0.928304,0.913537,0.842904,15677,1419,978,12663,0.083002,0.071696,0.916998,30737,0.443797,0.458145,20979.0
86,0.44,0.922569,0.922993,0.901519,0.926765,0.913968,0.843865,15715,1381,999,12642,0.080779,0.073235,0.919221,30737,0.443797,0.456225,21361.0
87,0.445,0.922992,0.923269,0.903161,0.925739,0.914311,0.844618,15742,1354,1013,12628,0.0792,0.074261,0.9208,30737,0.443797,0.454891,21614.0
88,0.45,0.92322,0.923319,0.90483,0.924199,0.914412,0.844966,15770,1326,1034,12607,0.077562,0.075801,0.922438,30737,0.443797,0.453297,22006.0
89,0.455,0.923057,0.923017,0.905728,0.92266,0.914116,0.844557,15786,1310,1055,12586,0.076626,0.07734,0.923374,30737,0.443797,0.452094,22410.0
90,0.46,0.923252,0.923014,0.907528,0.9209,0.914165,0.844845,15816,1280,1079,12562,0.074871,0.0791,0.925129,30737,0.443797,0.450337,22860.0
91,0.465,0.923382,0.922954,0.90921,0.919141,0.914148,0.845015,15844,1252,1103,12538,0.073234,0.080859,0.926766,30737,0.443797,0.448645,23312.0
92,0.47,0.923773,0.923186,0.910956,0.917968,0.914448,0.845735,15872,1224,1119,12522,0.071596,0.082032,0.928404,30737,0.443797,0.447213,23604.0
93,0.475,0.924163,0.923389,0.912955,0.916502,0.914725,0.846451,15904,1192,1139,12502,0.069724,0.083498,0.930276,30737,0.443797,0.445522,23972.0
94,0.48,0.924326,0.923394,0.914439,0.915109,0.914774,0.846726,15928,1168,1158,12483,0.06832,0.084891,0.93168,30737,0.443797,0.444123,24328.0
95,0.485,0.924358,0.923253,0.915907,0.913423,0.914663,0.846741,15952,1144,1181,12460,0.066916,0.086577,0.933084,30737,0.443797,0.442594,24764.0
96,0.49,0.924131,0.9229,0.916661,0.911957,0.914303,0.846249,15965,1131,1201,12440,0.066156,0.088043,0.933844,30737,0.443797,0.44152,25151.0
97,0.495,0.923935,0.922525,0.917918,0.909977,0.91393,0.845815,15986,1110,1228,12413,0.064927,0.090023,0.935073,30737,0.443797,0.439958,25670.0
98,0.5,0.92361,0.922047,0.918787,0.908145,0.913435,0.84513,16001,1095,1253,12388,0.06405,0.091855,0.93595,30737,0.443797,0.438657,26155.0
99,0.505,0.923708,0.921957,0.920488,0.906385,0.913382,0.845303,16028,1068,1277,12364,0.062471,0.093615,0.937529,30737,0.443797,0.436998,26608.0
100,0.51,0.92335,0.921435,0.921428,0.904406,0.912838,0.844564,16044,1052,1304,12337,0.061535,0.095594,0.938465,30737,0.443797,0.435599,27132.0
101,0.515,0.923545,0.921426,0.923423,0.902573,0.912879,0.844954,16075,1021,1329,12312,0.059722,0.097427,0.940278,30737,0.443797,0.433777,27601.0
102,0.52,0.923512,0.921197,0.925075,0.900594,0.91267,0.844892,16101,995,1356,12285,0.058201,0.099406,0.941799,30737,0.443797,0.432053,28115.0
103,0.525,0.92348,0.921019,0.92629,0.899128,0.912507,0.844836,16120,976,1376,12265,0.057089,0.100872,0.942911,30737,0.443797,0.430784,28496.0
104,0.53,0.92335,0.920732,0.927495,0.897442,0.912221,0.844588,16139,957,1399,12242,0.055978,0.102558,0.944022,30737,0.443797,0.429417,28937.0
105,0.535,0.923382,0.920628,0.928734,0.896122,0.912137,0.844675,16158,938,1417,12224,0.054867,0.103878,0.945133,30737,0.443797,0.428214,29278.0
106,0.54,0.923675,0.920765,0.930483,0.894876,0.912332,0.845301,16184,912,1434,12207,0.053346,0.105124,0.946654,30737,0.443797,0.426815,29592.0
107,0.545,0.923675,0.920587,0.932063,0.893116,0.912174,0.845343,16208,888,1458,12183,0.051942,0.106884,0.948058,30737,0.443797,0.425253,30048.0
108,0.55,0.923545,0.920278,0.933502,0.89121,0.911866,0.845129,16230,866,1484,12157,0.050655,0.10879,0.949345,30737,0.443797,0.423691,30546.0
109,0.555,0.922992,0.919536,0.934484,0.888791,0.911065,0.844062,16246,850,1517,12124,0.049719,0.111209,0.950281,30737,0.443797,0.422097,31190.0
110,0.56,0.923057,0.919409,0.93631,0.886958,0.910966,0.844269,16273,823,1542,12099,0.04814,0.113042,0.95186,30737,0.443797,0.420405,31663.0
111,0.565,0.923024,0.919217,0.937728,0.885346,0.910784,0.844271,16294,802,1564,12077,0.046912,0.114654,0.953088,30737,0.443797,0.419006,32082.0
112,0.57,0.922959,0.918996,0.939082,0.883733,0.910567,0.844212,16314,782,1586,12055,0.045742,0.116267,0.954258,30737,0.443797,0.41764,32502.0
113,0.575,0.922699,0.918539,0.940555,0.881534,0.910089,0.843781,16336,760,1616,12025,0.044455,0.118466,0.955545,30737,0.443797,0.415948,33080.0
114,0.58,0.922406,0.918106,0.941481,0.879848,0.909621,0.843261,16350,746,1639,12002,0.043636,0.120152,0.956364,30737,0.443797,0.414744,33526.0
115,0.585,0.922276,0.917833,0.942644,0.878308,0.909339,0.84308,16367,729,1660,11981,0.042642,0.121692,0.957358,30737,0.443797,0.413508,33929.0
116,0.59,0.922146,0.917538,0.944023,0.876549,0.909036,0.842919,16387,709,1684,11957,0.041472,0.123451,0.958528,30737,0.443797,0.412077,34389.0
117,0.595,0.921886,0.917134,0.945043,0.874863,0.908599,0.842484,16402,694,1707,11934,0.040594,0.125137,0.959406,30737,0.443797,0.41084,34834.0
118,0.6,0.921788,0.916883,0.946373,0.87325,0.908342,0.842395,16421,675,1729,11912,0.039483,0.12675,0.960517,30737,0.443797,0.409506,35255.0
119,0.605,0.921463,0.916391,0.94754,0.87127,0.907806,0.841854,16438,658,1756,11885,0.038489,0.12873,0.961511,30737,0.443797,0.408075,35778.0
120,0.61,0.92117,0.915935,0.94872,0.869364,0.90731,0.841384,16455,641,1782,11859,0.037494,0.130636,0.962506,30737,0.443797,0.406676,36281.0
121,0.615,0.920714,0.915326,0.949599,0.867385,0.906632,0.840577,16468,628,1809,11832,0.036734,0.132615,0.963266,30737,0.443797,0.405375,36808.0
122,0.62,0.920422,0.914892,0.950576,0.865699,0.906154,0.840099,16482,614,1832,11809,0.035915,0.134301,0.964085,30737,0.443797,0.404171,37254.0
123,0.625,0.919966,0.914268,0.951612,0.863573,0.905457,0.839317,16497,599,1861,11780,0.035037,0.136427,0.964963,30737,0.443797,0.402739,37819.0
124,0.63,0.919771,0.913937,0.952686,0.862034,0.905095,0.839046,16512,584,1882,11759,0.03416,0.137966,0.96584,30737,0.443797,0.401568,38224.0
125,0.635,0.919738,0.913752,0.954154,0.860494,0.904907,0.839133,16532,564,1903,11738,0.03299,0.139506,0.96701,30737,0.443797,0.400234,38624.0
126,0.64,0.919446,0.913355,0.954786,0.859175,0.904461,0.838637,16541,555,1921,11720,0.032464,0.140825,0.967536,30737,0.443797,0.399356,38975.0
127,0.645,0.91912,0.912907,0.955566,0.857635,0.903956,0.838096,16552,544,1942,11699,0.03182,0.142365,0.96818,30737,0.443797,0.398315,39384.0
128,0.65,0.918535,0.912188,0.956098,0.855729,0.903133,0.837031,16560,536,1968,11673,0.031352,0.144271,0.968648,30737,0.443797,0.397209,39896.0
129,0.655,0.918372,0.911894,0.957204,0.854263,0.902808,0.836845,16575,521,1988,11653,0.030475,0.145737,0.969525,30737,0.443797,0.39607,40281.0
130,0.66,0.917917,0.911307,0.957908,0.852503,0.902137,0.836056,16585,511,2012,11629,0.02989,0.147497,0.97011,30737,0.443797,0.394964,40751.0
131,0.665,0.917526,0.910785,0.958698,0.850817,0.901542,0.835405,16596,500,2035,11606,0.029247,0.149183,0.970753,30737,0.443797,0.393858,41200.0
132,0.67,0.917038,0.910147,0.959559,0.848838,0.900809,0.83458,16608,488,2062,11579,0.028545,0.151162,0.971455,30737,0.443797,0.392589,41728.0
133,0.675,0.916843,0.90983,0.960532,0.847445,0.900452,0.834329,16621,475,2081,11560,0.027784,0.152555,0.972216,30737,0.443797,0.391548,42095.0
134,0.68,0.91655,0.909441,0.961116,0.846199,0.900004,0.833847,16629,467,2098,11543,0.027316,0.153801,0.972684,30737,0.443797,0.390734,42427.0
135,0.685,0.915997,0.908737,0.961908,0.844146,0.899188,0.8329,16640,456,2126,11515,0.026673,0.155854,0.973327,30737,0.443797,0.389465,42976.0
136,0.69,0.915607,0.908164,0.963264,0.841947,0.898529,0.832341,16658,438,2156,11485,0.02562,0.158053,0.97438,30737,0.443797,0.387904,43558.0
137,0.695,0.915314,0.907745,0.964172,0.840408,0.898046,0.831911,16670,426,2177,11464,0.024918,0.159592,0.975082,30737,0.443797,0.38683,43966.0
138,0.7,0.915021,0.907341,0.964927,0.839015,0.897577,0.831462,16680,416,2196,11445,0.024333,0.160985,0.975667,30737,0.443797,0.385887,44336.0
