,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
177,0.895,0.94719,0.955518,0.989332,0.932465,0.960057,0.885722,10960,240,1612,22257,0.021429,0.067535,0.978571,35069,0.68063,0.641507,32480.0
178,0.9,0.946591,0.955197,0.98954,0.931375,0.959577,0.884617,10965,235,1638,22231,0.020982,0.068625,0.979018,35069,0.68063,0.640623,32995.0
179,0.905,0.945821,0.954821,0.989876,0.929909,0.958956,0.883228,10973,227,1673,22196,0.020268,0.070091,0.979732,35069,0.68063,0.639397,33687.0
180,0.91,0.945194,0.954597,0.990304,0.928568,0.958443,0.882157,10983,217,1705,22164,0.019375,0.071432,0.980625,35069,0.68063,0.638199,34317.0
181,0.915,0.944452,0.954218,0.9906,0.927186,0.957845,0.880824,10990,210,1738,22131,0.01875,0.072814,0.98125,35069,0.68063,0.637058,34970.0
182,0.92,0.943397,0.953561,0.990805,0.925426,0.957,0.878856,10995,205,1780,22089,0.018304,0.074574,0.981696,35069,0.68063,0.635718,35805.0
183,0.925,0.942456,0.953036,0.9911,0.92375,0.956241,0.877153,11002,198,1820,22049,0.017679,0.07625,0.982321,35069,0.68063,0.634378,36598.0
184,0.93,0.941572,0.9526,0.991486,0.922075,0.955521,0.875603,11011,189,1860,22009,0.016875,0.077925,0.983125,35069,0.68063,0.632981,37389.0
185,0.935,0.940745,0.952229,0.991918,0.920441,0.954844,0.874191,11021,179,1899,21970,0.015982,0.079559,0.984018,35069,0.68063,0.631583,38159.0
186,0.94,0.939491,0.951426,0.992125,0.918388,0.953833,0.871884,11026,174,1948,21921,0.015536,0.081612,0.984464,35069,0.68063,0.630044,39134.0
187,0.945,0.93758,0.95026,0.992548,0.915162,0.952285,0.868441,11036,164,2025,21844,0.014643,0.084838,0.985357,35069,0.68063,0.627563,40664.0
188,0.95,0.936582,0.94974,0.99294,0.913319,0.951466,0.866728,11045,155,2069,21800,0.013839,0.086681,0.986161,35069,0.68063,0.626051,41535.0
189,0.955,0.935385,0.949144,0.993467,0.911056,0.950479,0.864711,11057,143,2123,21746,0.012768,0.088944,0.987232,35069,0.68063,0.624169,42603.0
190,0.96,0.933788,0.948184,0.993857,0.908333,0.949173,0.86191,11066,134,2188,21681,0.011964,0.091667,0.988036,35069,0.68063,0.622059,43894.0
191,0.965,0.932134,0.947254,0.994386,0.9054,0.947809,0.859088,11078,122,2258,21611,0.010893,0.0946,0.989107,35069,0.68063,0.619721,45282.0
192,0.97,0.929396,0.945503,0.994865,0.900918,0.945563,0.854287,11089,111,2365,21504,0.009911,0.099082,0.990089,35069,0.68063,0.616356,47411.0
193,0.975,0.926773,0.943861,0.995395,0.89656,0.943396,0.849774,11101,99,2469,21400,0.008839,0.10344,0.991161,35069,0.68063,0.613049,49479.0
194,0.98,0.923152,0.941556,0.996064,0.890611,0.940391,0.843599,11116,84,2611,21258,0.0075,0.109389,0.9925,35069,0.68063,0.608572,52304.0
195,0.985,0.91742,0.937629,0.99659,0.881688,0.935624,0.833736,11128,72,2824,21045,0.006429,0.118312,0.993571,35069,0.68063,0.602156,56552.0
196,0.99,0.91012,0.932551,0.997121,0.87046,0.929495,0.821378,11140,60,3092,20777,0.005357,0.12954,0.994643,35069,0.68063,0.594171,61900.0
