,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
141,0.715,0.916062,0.908758,0.962455,0.84378,0.899219,0.833095,16647,449,2131,11510,0.026263,0.15622,0.973737,30737,0.443797,0.389075,43069.0
142,0.72,0.915411,0.907981,0.962857,0.841874,0.89831,0.831917,16653,443,2157,11484,0.025912,0.158126,0.974088,30737,0.443797,0.388034,43583.0
143,0.725,0.915021,0.907437,0.96391,0.839968,0.897681,0.831322,16667,429,2183,11458,0.025094,0.160032,0.974906,30737,0.443797,0.386733,44089.0
144,0.73,0.914566,0.90685,0.96465,0.838208,0.896995,0.830565,16677,419,2207,11434,0.024509,0.161792,0.975491,30737,0.443797,0.385626,44559.0
145,0.735,0.9145,0.906688,0.965587,0.837182,0.896812,0.830574,16689,407,2221,11420,0.023807,0.162818,0.976193,30737,0.443797,0.384781,44827.0
146,0.74,0.914273,0.906298,0.966989,0.835349,0.896362,0.830347,16707,389,2246,11395,0.022754,0.164651,0.977246,30737,0.443797,0.383382,45309.0
147,0.745,0.913785,0.905681,0.967662,0.83359,0.895636,0.829528,16716,380,2270,11371,0.022227,0.16641,0.977773,30737,0.443797,0.382308,45780.0
148,0.75,0.913459,0.905204,0.968833,0.831757,0.895077,0.829092,16731,365,2295,11346,0.02135,0.168243,0.97865,30737,0.443797,0.381007,46265.0
149,0.755,0.912776,0.904375,0.969419,0.829631,0.894094,0.827902,16739,357,2324,11317,0.020882,0.170369,0.979118,30737,0.443797,0.379803,46837.0
150,0.76,0.912223,0.903648,0.970505,0.827359,0.893233,0.827035,16753,343,2355,11286,0.020063,0.172641,0.979937,30737,0.443797,0.378339,47443.0
151,0.765,0.91154,0.902841,0.970857,0.825453,0.89227,0.825815,16758,338,2381,11260,0.019771,0.174547,0.980229,30737,0.443797,0.37733,47958.0
152,0.77,0.911117,0.902253,0.972047,0.8234,0.89157,0.825217,16773,323,2409,11232,0.018893,0.1766,0.981107,30737,0.443797,0.375931,48503.0
153,0.775,0.910954,0.901989,0.972935,0.822227,0.891255,0.825059,16784,312,2425,11216,0.01825,0.177773,0.98175,30737,0.443797,0.375053,48812.0
154,0.78,0.910401,0.901306,0.973554,0.820394,0.890436,0.824132,16792,304,2450,11191,0.017782,0.179606,0.982218,30737,0.443797,0.373979,49304.0
155,0.785,0.909946,0.900682,0.974762,0.818268,0.889686,0.823488,16807,289,2479,11162,0.016905,0.181732,0.983095,30737,0.443797,0.372548,49869.0
156,0.79,0.909783,0.900388,0.975999,0.816802,0.889332,0.823397,16822,274,2499,11142,0.016027,0.183198,0.983973,30737,0.443797,0.371409,50254.0
157,0.795,0.909197,0.899631,0.977049,0.81453,0.888418,0.822494,16835,261,2530,11111,0.015267,0.18547,0.984733,30737,0.443797,0.369978,50861.0
158,0.8,0.908319,0.898597,0.977499,0.812111,0.887163,0.82095,16841,255,2563,11078,0.014916,0.187889,0.985084,30737,0.443797,0.368709,51515.0
159,0.805,0.907571,0.897702,0.978045,0.809911,0.886073,0.819666,16848,248,2593,11048,0.014506,0.190089,0.985494,30737,0.443797,0.367505,52108.0
